"","Game_ID","GAME_DATE","PTS","REB","AST","Game","TD","TDTotal"
"1","0021600880",2017-02-26,41,11,11,1,1,1
"2","0021600861",2017-02-24,17,18,17,2,1,2
"3","0021600845",2017-02-15,38,14,12,3,1,3
"4","0021600820",2017-02-13,17,4,4,4,0,3
"5","0021600813",2017-02-11,47,11,8,5,0,3
"6","0021600796",2017-02-09,29,12,11,6,1,4
"7","0021600770",2017-02-06,27,18,9,7,0,4
"8","0021600767",2017-02-05,42,4,8,8,0,4
"9","0021600750",2017-02-03,38,13,12,9,1,5
"10","0021600740",2017-02-01,28,5,8,10,0,5
"11","0021600727",2017-01-31,27,6,14,11,0,5
"12","0021600712",2017-01-29,20,12,10,12,1,6
"13","0021600690",2017-01-26,45,8,3,13,0,6
"14","0021600686",2017-01-25,27,12,10,14,1,7
"15","0021600673",2017-01-23,38,11,10,15,1,8
"16","0021600634",2017-01-18,27,15,13,16,1,9
"17","0021600621",2017-01-16,24,5,4,17,0,9
"18","0021600610",2017-01-15,36,11,10,18,1,10
"19","0021600596",2017-01-13,21,11,12,19,1,11
"20","0021600581",2017-01-11,24,13,12,20,1,12
"21","0021600569",2017-01-09,21,9,14,21,0,12
"22","0021600555",2017-01-07,32,17,11,22,1,13
"23","0021600540",2017-01-05,49,8,5,23,0,13
"24","0021600529",2017-01-04,33,15,8,24,0,13
"25","0021600513",2017-01-02,30,7,6,25,0,13
"26","0021600507",2016-12-31,17,12,14,26,1,14
"27","0021600487",2016-12-29,21,5,0,27,0,14
"28","0021600473",2016-12-27,29,17,11,28,1,15
"29","0021600459",2016-12-25,31,7,15,29,0,15
"30","0021600445",2016-12-23,45,11,11,30,1,16
"31","0021600433",2016-12-21,42,10,7,31,0,16
"32","0021600415",2016-12-19,46,11,7,32,0,16
"33","0021600399",2016-12-17,26,11,22,33,1,17
"34","0021600382",2016-12-14,27,6,5,34,0,17
"35","0021600373",2016-12-13,20,6,6,35,0,17
"36","0021600357",2016-12-11,37,12,6,36,0,17
"37","0021600341",2016-12-09,27,10,10,37,1,18
"38","0021600307",2016-12-05,32,13,12,38,1,19
"39","0021600301",2016-12-04,28,17,12,39,1,20
"40","0021600270",2016-11-30,35,14,11,40,1,21
"41","0021600255",2016-11-28,27,17,14,41,1,22
"42","0021600242",2016-11-26,17,13,15,42,1,23
"43","0021600235",2016-11-25,36,11,17,43,1,24
"44","0021600224",2016-11-23,31,11,9,44,0,24
"45","0021600211",2016-11-22,34,8,13,45,0,24
"46","0021600195",2016-11-20,31,11,15,46,1,25
"47","0021600178",2016-11-18,30,10,13,47,1,26
"48","0021600164",2016-11-16,30,7,9,48,0,26
"49","0021600147",2016-11-14,33,15,8,49,0,26
"50","0021600141",2016-11-13,41,12,16,50,1,27
"51","0021600126",2016-11-11,29,14,9,51,0,27
"52","0021600112",2016-11-09,36,7,7,52,0,27
"53","0021600097",2016-11-07,14,5,11,53,0,27
"54","0021600079",2016-11-05,28,6,8,54,0,27
"55","0021600069",2016-11-03,20,6,10,55,0,27
"56","0021600064",2016-11-02,35,6,5,56,0,27
"57","0021600040",2016-10-30,33,11,16,57,1,28
"58","0021600021",2016-10-28,51,13,10,58,1,29
"59","0021600011",2016-10-26,32,12,9,59,0,29
