"","Game_ID","GAME_DATE","PTS","REB","AST","Game","TD","TDTotal"
"1","0021600880",2017-02-26,41,11,11,1,1,1
"2","0021600861",2017-02-24,17,18,17,2,1,2
"3","0021600845",2017-02-15,38,14,12,3,1,3
"6","0021600796",2017-02-09,29,12,11,6,1,4
"9","0021600750",2017-02-03,38,13,12,9,1,5
"12","0021600712",2017-01-29,20,12,10,12,1,6
"14","0021600686",2017-01-25,27,12,10,14,1,7
"15","0021600673",2017-01-23,38,11,10,15,1,8
"16","0021600634",2017-01-18,27,15,13,16,1,9
"18","0021600610",2017-01-15,36,11,10,18,1,10
"19","0021600596",2017-01-13,21,11,12,19,1,11
"20","0021600581",2017-01-11,24,13,12,20,1,12
"22","0021600555",2017-01-07,32,17,11,22,1,13
"26","0021600507",2016-12-31,17,12,14,26,1,14
"28","0021600473",2016-12-27,29,17,11,28,1,15
"30","0021600445",2016-12-23,45,11,11,30,1,16
"33","0021600399",2016-12-17,26,11,22,33,1,17
"37","0021600341",2016-12-09,27,10,10,37,1,18
"38","0021600307",2016-12-05,32,13,12,38,1,19
"39","0021600301",2016-12-04,28,17,12,39,1,20
"40","0021600270",2016-11-30,35,14,11,40,1,21
"41","0021600255",2016-11-28,27,17,14,41,1,22
"42","0021600242",2016-11-26,17,13,15,42,1,23
"43","0021600235",2016-11-25,36,11,17,43,1,24
"46","0021600195",2016-11-20,31,11,15,46,1,25
"47","0021600178",2016-11-18,30,10,13,47,1,26
"50","0021600141",2016-11-13,41,12,16,50,1,27
"57","0021600040",2016-10-30,33,11,16,57,1,28
"58","0021600021",2016-10-28,51,13,10,58,1,29
