"","Game_ID","GAME_DATE","PTS","REB","AST","Game","TD","TDTotal","MATCHUP"
"1","0021600011",2016-10-26,32,12,9,1,0,0,"@ PHI"
"2","0021600021",2016-10-28,51,13,10,2,1,1,"vs. PHX"
"3","0021600040",2016-10-30,33,11,16,3,1,2,"vs. LAL"
"4","0021600064",2016-11-02,35,6,5,4,0,2,"@ LAC"
"5","0021600069",2016-11-03,20,6,10,5,0,2,"@ GSW"
"6","0021600079",2016-11-05,28,6,8,6,0,2,"vs. MIN"
"7","0021600097",2016-11-07,14,5,11,7,0,2,"vs. MIA"
"8","0021600112",2016-11-09,36,7,7,8,0,2,"vs. TOR"
"9","0021600126",2016-11-11,29,14,9,9,0,2,"vs. LAC"
"10","0021600141",2016-11-13,41,12,16,10,1,3,"vs. ORL"
"11","0021600147",2016-11-14,33,15,8,11,0,3,"@ DET"
"12","0021600164",2016-11-16,30,7,9,12,0,3,"vs. HOU"
"13","0021600178",2016-11-18,30,10,13,13,1,4,"vs. BKN"
"14","0021600195",2016-11-20,31,11,15,14,1,5,"vs. IND"
"15","0021600211",2016-11-22,34,8,13,15,0,5,"@ LAL"
"16","0021600224",2016-11-23,31,11,9,16,0,5,"@ SAC"
"17","0021600235",2016-11-25,36,11,17,17,1,6,"@ DEN"
"18","0021600242",2016-11-26,17,13,15,18,1,7,"vs. DET"
"19","0021600255",2016-11-28,27,17,14,19,1,8,"@ NYK"
"20","0021600270",2016-11-30,35,14,11,20,1,9,"vs. WAS"
"21","0021600301",2016-12-04,28,17,12,21,1,10,"vs. NOP"
"22","0021600307",2016-12-05,32,13,12,22,1,11,"@ ATL"
"23","0021600341",2016-12-09,27,10,10,23,1,12,"vs. HOU"
"24","0021600357",2016-12-11,37,12,6,24,0,12,"vs. BOS"
"25","0021600373",2016-12-13,20,6,6,25,0,12,"@ POR"
"26","0021600382",2016-12-14,27,6,5,26,0,12,"@ UTA"
"27","0021600399",2016-12-17,26,11,22,27,1,13,"vs. PHX"
"28","0021600415",2016-12-19,46,11,7,28,0,13,"vs. ATL"
"29","0021600433",2016-12-21,42,10,7,29,0,13,"@ NOP"
"30","0021600445",2016-12-23,45,11,11,30,1,14,"@ BOS"
"31","0021600459",2016-12-25,31,7,15,31,0,14,"vs. MIN"
"32","0021600473",2016-12-27,29,17,11,32,1,15,"@ MIA"
"33","0021600487",2016-12-29,21,5,0,33,0,15,"@ MEM"
"34","0021600507",2016-12-31,17,12,14,34,1,16,"vs. LAC"
"35","0021600513",2017-01-02,30,7,6,35,0,16,"@ MIL"
"36","0021600529",2017-01-04,33,15,8,36,0,16,"@ CHA"
"37","0021600540",2017-01-05,49,8,5,37,0,16,"@ HOU"
"38","0021600555",2017-01-07,32,17,11,38,1,17,"vs. DEN"
"39","0021600569",2017-01-09,21,9,14,39,0,17,"@ CHI"
"40","0021600581",2017-01-11,24,13,12,40,1,18,"vs. MEM"
"41","0021600596",2017-01-13,21,11,12,41,1,19,"@ MIN"
"42","0021600610",2017-01-15,36,11,10,42,1,20,"@ SAC"
"43","0021600621",2017-01-16,24,5,4,43,0,20,"@ LAC"
"44","0021600634",2017-01-18,27,15,13,44,1,21,"@ GSW"
"45","0021600673",2017-01-23,38,11,10,45,1,22,"@ UTA"
"46","0021600686",2017-01-25,27,12,10,46,1,23,"@ NOP"
"47","0021600690",2017-01-26,45,8,3,47,0,23,"vs. DAL"
"48","0021600712",2017-01-29,20,12,10,48,1,24,"@ CLE"
"49","0021600727",2017-01-31,27,6,14,49,0,24,"@ SAS"
"50","0021600740",2017-02-01,28,5,8,50,0,24,"vs. CHI"
"51","0021600750",2017-02-03,38,13,12,51,1,25,"vs. MEM"
"52","0021600767",2017-02-05,42,4,8,52,0,25,"vs. POR"
"53","0021600770",2017-02-06,27,18,9,53,0,25,"@ IND"
"54","0021600796",2017-02-09,29,12,11,54,1,26,"vs. CLE"
"55","0021600813",2017-02-11,47,11,8,55,0,26,"vs. GSW"
"56","0021600820",2017-02-13,17,4,4,56,0,26,"@ WAS"
"57","0021600845",2017-02-15,38,14,12,57,1,27,"vs. NYK"
"58","0021600861",2017-02-24,17,18,17,58,1,28,"vs. LAL"
"59","0021600880",2017-02-26,41,11,11,59,1,29,"vs. NOP"
"60","0021600893",2017-02-28,43,11,10,60,1,30,"vs. UTA"
"61","0021600908",2017-03-02,45,8,4,61,0,30,"@ POR"
